word,arpabet_phoneme_sequence,lang
'cause,K AX Z,en
'course,K AO R S,en
'em,AX M,en
'm,AX M,en
'n,AX N,en
'quote,K W AO W T,en
'til,T IY L,en
'tis,T IY Z,en
'twas,T W AX Z,en
--nya,NY AA,ma
-anda,AA N D AA,ma
-belas,B AX L AA S,ma
-compeng,CH AO M P EH NG,ma
-delapan,D AX L AA P AA N,ma
-kan,K AA N,ma
-ku,K UW,ma
-lenggang,L EH NG G AA NG,ma
-mahasiswa,M AA HH AA S IY S W AA,ma
-nya,NY AA,ma
-sepit,S AX P IY T,ma
-tak,T AA Q,ma
-wan,W AA N,ma
-wati,W AA T IY,ma
a'du,AA Q D UW,ma
a'had,AA Q HH AA D,ma
aaberg,AA B AX R G,en
aachen,AA K AX N,en
aaker,AA K AX R,en
aalseth,AA L S EH T,en
aamodt,AA M AX T,en
aardema,AA R D EH M AA,en
aardvark,AA R D V AA R K,en
aaron,EH R AX N,en
aaron's,EH R AX N Z,en
aarons,EH R AX N Z,en
aaronson's,AA R AX N S AX N Z,en
aaronson's,EH R AX N S AX N Z,en
aarti,AA R T IY,en
aase,AA S,en
aasen,AA S AX N,en
ab,AA B,ma
ab,EH B,en
ababa,AA B AX B AA,en
ababa,AX B AA B AA,en
abacha,EH B AX K AA,en
aback,AX B EH Q,en
abacus,EH B AX K AX S,en
abad,AX B AA D,en
abadaka,AX B EH D AX K AA,en
abadi,AA B AA D IY,ma
abadi,AX B EH D IY,en
abadiah,AA B AA D IY AA HH,ma
abadie,AX B EH D IY,en
abadikan,AA B AA D IY K AA N,ma
abah,AA B AA HH,ma
abaian,AA B AY AA N,ma
abaikan,AA B AY K AA N,ma
abaimana,AA B AY M AA N AA,ma
abair,AX B EH R,en
abalkin,AX B AA L K IY N,en
abalos,AA B AA L AO W Z,en
abandon,AX B EH N D AX N,en
abandoned,AX B EH N D AX N D,en
abandoning,AX B EH N D AX N IY NG,en
abandonment,AX B EH N D AX N M AX N T,en
abandons,AX B EH N D AX N Z,en
abang,AA B AA NG,ma
abangan,AA B AA NG AA N,ma
abangnya,AA B AA NG NY AA,ma
abanto,AX B EH N T AO W,en
abar,AA B AA R,ma
abaran,AA B AA R AA N,ma
abarca,AX B AA R K AA,en
abare,AA B AA R IY,en
abascal,EH B AX S K AX L,en
abash,AX B EH SH,en
